CountryName,CountryCode,populationOf1960,populationOf1970,populationOf1980,populationOf1990,populationOf2000,populationOf2010,populationOf2016
East Asia,EAS,1039944591,1289258959,1558178982,1821481248,2047150750,2207154891,2298727229
Europe,ECS,667246384,737948178,793937090,842848473,862304086,889016216,911847278
Latin America,LCN,220434662,287361389,363543431,445044474,524829251,596479937,637668677
Middle East & North Africa,MEA,105488678,139083819,185843847,255989130,317129227,388376106,436720093
Pacific islands,PSS,865809,1152033,1420671,1694410,1964221,2214096,2388875
South Asia,TSA,571835666,712740919,900076467,1133089464,1386625845,1630806784,1766393714
Sub-Saharan Africa,TSS,228586005,292929074,385885281,512177101,670649638,877628367,1033212743
Oceania,OCC,13514086,16469733,19225571,22089310,24974921,28596546,31292884
North America,NAM,249734255,294618157,340460552,385042010,440110127,489453086,517872346
